100,"Steven","King","SKING","1987/6/17","AD_PRES",24000,0,90
101,"Neena","Kochhar","NKOCHHAR","1987/6/18","AD_VP",17000,100,90
102,"Lex","De Haan","LDEHAAN","1987/6/19","AD_VP",17000,100,90
103,"Alexander","Hunold","AHUNOLD","1987/6/20","IT_PROG",9000,102,60
104,"Bruce","Ernst","BERNST","1987/6/20","IT_PROG",6000,103,60
105,"David","Austin","DAUSTIN","1987/6/22","IT_PROG",4800,103,60
106,"Valli","Pataballa","VPATABAL","1987/6/23","IT_PROG",4800,103,60
107,"Diana","Lorentz","DLORENTZ","1987/6/24","IT_PROG",4200,103,60
108,"Nancy","Greenberg","NGREENBE","1987/6/25","FI_MGR",12000,101,100
109,"Daniel","Faviet","DFAVIET","1987/6/25","FI_ACCOUNT",9000,108,100
110,"John","Chen","JCHEN","1987/6/25","FI_ACCOUNT",8200,108,100
111,"Ismael","Sciarra","ISCIARRA","1987/6/28","FI_ACCOUNT",7700,108,100
112,"Jose Manue","Urman","JMURMAN","1987/6/29","FI_ACCOUNT",7800,108,100
113,"Luis","Popp","LPOPP","1987/6/30","FI_ACCOUNT",6900,108,100
114,"Den","Raphaely","DRAPHEAL","1987/7/1","PU_MAN",11000,100,30
115,"Alexander","Khoo","AKHOO","1987/7/2","PU_CLERK",3100,114,30
116,"Shelli","Baida","SBAIDA","1987/7/3","PU_CLERK",2900,114,30
117,"Sigal","Tobias","STOBIAS","1987/7/4","PU_CLERK",2800,114,30
118,"Guy","Himuro","GHIMURO","1987/7/5","PU_CLERK",2600,114,30
119,"Karen","Colmenares","KCOLMENA","1987/7/6","PU_CLERK",2500,114,30
120,"Matthew","Weiss","MWEISS","1987/7/7","ST_MAN",8000,100,50
121,"Adam","Fripp","AFRIPP","1987/7/8","ST_MAN",8200,100,50
122,"Payam","Kaufling","PKAUFLIN","1987/7/9","ST_MAN",7900,100,50
123,"Shanta","Vollman","SVOLLMAN","1987/7/10","ST_MAN",6500,100,50
